Date : 2020-10-03 22:56:00
Directory : x:\Programming\Python\Capsian-Engine
Total : 601 files,  158767 codes, 61008 comments, 32234 blanks, all 252009 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Python     |        593 |    158,554 |     60,997 |     32,185 |    251,736 |
| Properties |          2 |         75 |          4 |         10 |         89 |
| Batch      |          3 |         51 |          0 |         18 |         69 |
| Markdown   |          1 |         37 |          0 |         10 |         47 |
| PowerShell |          1 |         36 |          6 |         10 |         52 |
| XML        |          1 |         14 |          1 |          1 |         16 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                      |        601 |    158,767 |     61,008 |     32,234 |    252,009 |
| Capsian                                                                                                                                |         36 |      1,047 |      2,566 |        818 |      4,431 |
| Capsian\GUI                                                                                                                            |          3 |         43 |        206 |         41 |        290 |
| Capsian\audio                                                                                                                          |          3 |         27 |        203 |         42 |        272 |
| Capsian\components                                                                                                                     |          4 |        117 |        328 |        105 |        550 |
| Capsian\entities                                                                                                                       |          5 |        259 |        486 |        206 |        951 |
| Capsian\input                                                                                                                          |          2 |         14 |        110 |         20 |        144 |
| Capsian\maths                                                                                                                          |          2 |          8 |        105 |         14 |        127 |
| Capsian\texturing                                                                                                                      |          3 |         82 |        172 |         52 |        306 |
| Capsian\video                                                                                                                          |          8 |        300 |        535 |        207 |      1,042 |
| Capsian\world                                                                                                                          |          2 |         29 |        147 |         39 |        215 |
| scripts                                                                                                                                |          1 |         37 |          1 |         17 |         55 |
| venv                                                                                                                                   |        559 |    157,509 |     58,278 |     31,328 |    247,115 |
| venv\Windows                                                                                                                           |        559 |    157,509 |     58,278 |     31,328 |    247,115 |
| venv\Windows\Lib                                                                                                                       |        555 |    157,420 |     58,272 |     31,299 |    246,991 |
| venv\Windows\Lib\site-packages                                                                                                         |        555 |    157,420 |     58,272 |     31,299 |    246,991 |
| venv\Windows\Lib\site-packages\pip                                                                                                     |        303 |     67,601 |     21,749 |     12,171 |    101,521 |
| venv\Windows\Lib\site-packages\pip\_internal                                                                                           |         71 |     11,271 |      3,779 |      2,647 |     17,697 |
| venv\Windows\Lib\site-packages\pip\_internal\cli                                                                                       |          7 |      1,184 |        248 |        254 |      1,686 |
| venv\Windows\Lib\site-packages\pip\_internal\commands                                                                                  |         14 |      1,667 |        237 |        351 |      2,255 |
| venv\Windows\Lib\site-packages\pip\_internal\models                                                                                    |          5 |        192 |         52 |         61 |        305 |
| venv\Windows\Lib\site-packages\pip\_internal\operations                                                                                |          4 |        531 |        165 |        123 |        819 |
| venv\Windows\Lib\site-packages\pip\_internal\req                                                                                       |          7 |      1,871 |        516 |        320 |      2,707 |
| venv\Windows\Lib\site-packages\pip\_internal\utils                                                                                     |         17 |      1,788 |        895 |        515 |      3,198 |
| venv\Windows\Lib\site-packages\pip\_internal\vcs                                                                                       |          5 |        829 |        293 |        203 |      1,325 |
| venv\Windows\Lib\site-packages\pip\_vendor                                                                                             |        230 |     56,320 |     17,964 |      9,518 |     83,802 |
| venv\Windows\Lib\site-packages\pip\_vendor\cachecontrol                                                                                |         13 |        735 |        261 |        264 |      1,260 |
| venv\Windows\Lib\site-packages\pip\_vendor\cachecontrol\caches                                                                         |          3 |        111 |         33 |         40 |        184 |
| venv\Windows\Lib\site-packages\pip\_vendor\certifi                                                                                     |          3 |         10 |          8 |         10 |         28 |
| venv\Windows\Lib\site-packages\pip\_vendor\chardet                                                                                     |         41 |      4,710 |      1,590 |        462 |      6,762 |
| venv\Windows\Lib\site-packages\pip\_vendor\chardet\cli                                                                                 |          2 |         43 |         32 |         13 |         88 |
| venv\Windows\Lib\site-packages\pip\_vendor\colorama                                                                                    |          6 |        578 |         70 |        124 |        772 |
| venv\Windows\Lib\site-packages\pip\_vendor\distlib                                                                                     |         19 |      9,619 |      3,116 |      1,734 |     14,469 |
| venv\Windows\Lib\site-packages\pip\_vendor\distlib\_backport                                                                           |          6 |      2,695 |      1,032 |        566 |      4,293 |
| venv\Windows\Lib\site-packages\pip\_vendor\html5lib                                                                                    |         34 |     10,402 |      1,446 |      1,376 |     13,224 |
| venv\Windows\Lib\site-packages\pip\_vendor\html5lib\_trie                                                                              |          4 |        111 |          4 |         51 |        166 |
| venv\Windows\Lib\site-packages\pip\_vendor\html5lib\filters                                                                            |          8 |      1,086 |        178 |         92 |      1,356 |
| venv\Windows\Lib\site-packages\pip\_vendor\html5lib\treeadapters                                                                       |          3 |         82 |         32 |         23 |        137 |
| venv\Windows\Lib\site-packages\pip\_vendor\html5lib\treebuilders                                                                       |          5 |        980 |        222 |        250 |      1,452 |
| venv\Windows\Lib\site-packages\pip\_vendor\html5lib\treewalkers                                                                        |          6 |        555 |        165 |        147 |        867 |
| venv\Windows\Lib\site-packages\pip\_vendor\idna                                                                                        |          8 |     10,524 |         38 |        213 |     10,775 |
